month,year,networth,gross_income,after_tax_income,portfolio_value,portfolio_gain,home_equity,home_valuation,cost_mortgage,monthly_property_tax,monthly_maintenance,home_insurance,hoa_fees,non_housing_cost
45,3,905965.16,33764.06,22959.56,547962.95,3855.67,358002.21,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
46,3,919897.55,33764.06,22959.56,561054.65,3949.35,358842.9,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
47,3,933929.25,33764.06,22959.56,574240.7,4043.7,359688.55,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
48,4,993055.54,35452.27,24107.54,587521.79,4138.74,405533.75,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
49,4,1008189.56,35452.27,24107.54,601800.15,4234.46,406389.41,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
50,4,1023431.53,35452.27,24107.54,616181.41,4337.37,407250.12,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
51,4,1038782.24,35452.27,24107.54,630666.33,4441.02,408115.91,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
52,4,1054242.46,35452.27,24107.54,645255.64,4545.42,408986.81,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
53,4,1069812.96,35452.27,24107.54,659950.1,4650.57,409862.86,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
54,4,1085494.55,35452.27,24107.54,674750.48,4756.47,410744.07,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
55,4,1101288.0,35452.27,24107.54,689657.52,4863.14,411630.49,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
56,4,1117194.13,35452.27,24107.54,704672.0,4970.58,412522.13,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
57,4,1133213.74,35452.27,24107.54,719794.7,5078.8,413419.04,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
58,4,1149347.63,35452.27,24107.54,735026.39,5187.79,414321.25,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
59,4,1165596.63,35452.27,24107.54,750367.86,5297.57,415228.78,1169858.56,5367.09,914.67,459.92,0.0,607.1,6714.86
60,5,1228755.9,37224.88,25312.92,765819.9,5408.14,462936.01,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
61,5,1246188.05,37224.88,25312.92,782333.77,5519.51,463854.28,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
62,5,1263744.63,37224.88,25312.92,798966.66,5638.53,464777.98,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
63,5,1281426.55,37224.88,25312.92,815719.43,5758.41,465707.12,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
64,5,1299234.69,37224.88,25312.92,832592.94,5879.15,466641.75,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
65,5,1317169.96,37224.88,25312.92,849588.06,6000.77,467581.9,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
66,5,1335233.28,37224.88,25312.92,866705.68,6123.26,468527.6,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
67,5,1353425.54,37224.88,25312.92,883946.66,6246.63,469478.88,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
68,5,1371747.68,37224.88,25312.92,901311.91,6370.89,470435.77,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
69,5,1390200.63,37224.88,25312.92,918802.32,6496.05,471398.31,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
70,5,1408785.32,37224.88,25312.92,936418.78,6622.11,472366.53,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
71,5,1427502.69,37224.88,25312.92,954162.21,6749.07,473340.47,1216652.9,5367.09,975.04,471.42,0.0,622.27,6882.73
72,6,1495019.8,39086.12,26578.56,972033.53,6876.96,522986.28,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
73,6,1515007.27,39086.12,26578.56,991035.53,7005.76,523971.75,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
74,6,1535137.51,39086.12,26578.56,1010174.48,7142.71,524963.03,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
75,6,1555411.54,39086.12,26578.56,1029451.38,7280.65,525960.17,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
